"adr_company_id","name1","strno","name2","name3","street","city_code","country_id","lang_country_name","zip_code","post_box_no","post_box_code","vat_tin","cst_tin","name3","lang_property_name","master_property_id","payment_condition_id","lang_description","net_days","transit_days","email","telephone1","telephone2","email","account_no","bank_code","bank_name","bank_address","financial_account_no"
"1022","CHAUDHARI ASSOCIATES",,,,,,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1392"
"1023","RAKESH HARDWARE",,,"PIPARIA, SILVASSA - 396 230","BRAHAMAND COMPLEX",,"1","INDIA","GJ",,,,,"PIPARIA, SILVASSA - 396 230","Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1436"
"1024","DURATECH AUTOMATION PVT LTD.",,,"NAVGHAR, VASAI - EAST, DIST - THANE","UNIT NO. 5, DIWAN IND. EST. NO. 6",,"1","INDIA","MH",,,,,"NAVGHAR, VASAI - EAST, DIST - THANE","Supplier","2","68","100% ADVANCE ","1","0","info@unitech-india.net","02502393464","02506555034","info@unitech-india.net","25230200000903","BARB0VASEAS","BANK OF BARODA",,"1396"
"1026","AKAR ART and ACRYSIGN",,,,,,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1394"
"1027","KK POLYCOLOUR INDIA LTD",,,,,,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1434"
"1028","PODER PIGMENT LTD",,,,,,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1435"
"1029","RELIABLE TESTING",,,,"203, V RAJ VIHAR OPP POLICE LINE,ULTAN FALIYA ROAD SILVASSA 396230",,"1","INDIA",,,"AFLPP4416M",,,,"Supplier","2","2","60 DAYS AFTER RECEIPT OF MATERIAL","60","0","reliabletesting@gmail.com",,,"reliabletesting@gmail.com","00742320003292","HDFC0000074","HDFC BANK LTD-SILVASSA","SILVASSA","1395"
"1035","SHREEJI CRANE",,,"VAPI - 396 195","C-1 B 2605/1 III PHASE G.I.D.C. ",,"1","INDIA","GJ",,,,,"VAPI - 396 195","Supplier","2","68","100% ADVANCE ","1","0","shreejicranes@gmail.com","02602420776","02603251495","shreejicranes@gmail.com",,NULL,NULL,NULL,"1437"
"1036","BUREAU VERITAS CERTIFICATION (I) LTD. ",,,,,,"1","INDIA","MH",,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1438"
"1037","MITTAL ELECTRICALS",,,,,,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1441"
"1038","JEMMCO",,,,,,"1","INDIA",,,,,,,"Supplier","2","48","ADVANCE PAYMENT BY TT AGST PROFORMA INVOICE","1","0",,,,,,NULL,NULL,NULL,"1440"
"1039","B.D.ENTERPRISES",,,,,,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1439"
"1040","V.S.EQUIPMENTS AND AUTOMATIONS PRIVATE LIMITED",,,"POKHARAN ROAD NO. 1, VARTAK NAGAR, THANE ( W ) -400 606","001-B, KRISHNA, LAXMI INDUSTRIAL PREMISES CO-OP SOCIETY,",,"1","INDIA","MH",,"AACCV0537E",,,"POKHARAN ROAD NO. 1, VARTAK NAGAR, THANE ( W ) -400 606","Supplier","2",,NULL,NULL,"0","vsequipments@vsnl.net",,,"vsequipments@vsnl.net",,NULL,NULL,NULL,"1442"
"1041","SKYLINE ELEVATORS",,,,,,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1443"
"1044","PERFECT INDUSTRIAL SERVICES",,,"OPP. PIPARIA STATION, SILVASSA- 396230","34 and 5, CENTRE POINT AMLI, ",,"1","INDIA","GJ",,,,,"OPP. PIPARIA STATION, SILVASSA- 396230","Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1468"
"1045","SONTOSH S MALI",,,,"AT NAVGHAR POST JNPT TAL URAN DIS RAIGAD NEAR SRIKRUPA WEAR HOUSE,ROOM NO 4",,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1447"
"1046","SANGHAVI GENERAL STORES",,,"MASAT SILVASSA- 396230","KHANVEL ROAD,",,"1","INDIA","GJ",,,,,"MASAT SILVASSA- 396230","Supplier","2","2","60 DAYS AFTER RECEIPT OF MATERIAL","60","0",,,,,"256520100841","CNRB0002565","CANARA BANK ","SILVASS ","1469"
"1047","ARIHANT ENGINEERING WORKS",,,"DADRA, SILVASSA -396230","A-101, DADRA IND ESATE",,"1","INDIA","GJ",,,,,"DADRA, SILVASSA -396230","Supplier","2","2","60 DAYS AFTER RECEIPT OF MATERIAL","60","0",,,,,,NULL,NULL,NULL,"1461"
"1049","VISHAL LOGISTICS VAPI",,,,"VAPI GIDC",,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1449"
"1050","MADRAS FREIGHT CARRIERS",,,,"AHEDABAD ",,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1451"
"1051","POWER ELECTRONICS",,,"BESIDE JALARAM CYCLE STORE, SHOP NO.- 02, D And N.H.","AT NAROLI, CHAR-RASTA, ",,"1","INDIA","GJ",,,,,"BESIDE JALARAM CYCLE STORE, SHOP NO.- 02, D And N.H.","Supplier","2",,NULL,NULL,"0","power_electronics@ymail.com","09879161608",,"power_electronics@ymail.com",,NULL,NULL,NULL,"1470"
"1052","PLANWAYS LOGISTICS",,,,"A/612 BALAJI BHAVAN,PLOT NO 42A,SECTOR-11 NEAR SAKAL BHAVAN,CBD BELAPUR 400614",,"1","INDIA",,,"BBPPK9893L",,,,"Supplier","2","58","6O DAYS FROM THE DATE OF BILL","60","0",,,,,"087305000517","ICIC0000873","ICICI BANK ","BELAPUR, NAVI MUMBAI","1453"
"1053","AAKASH DIESELS",,,,"BEING ZUBER AUTO GARAGE,NLH NO 8 VAPI 369195",,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1454"
"1054","SUPREB ARTS",,,"VAPI, SILVASSA ROAD, SILVASSA-396230","OPP. KOTAK MAHINDRA BANK, NEW RAJSTHAN BANK,",,"1","INDIA","GJ",,,,,"VAPI, SILVASSA ROAD, SILVASSA-396230","Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1475"
"1058","KATARIA AUTOMOBILES LTD.",,,,,,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1460"
"1059","NEW SHREENATH PLYWOOD ",,,,,,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1462"
"1060","GODREJ HOUSEHOLD PRODUCTS LTD",,,,,,"1","INDIA",,,,,,,"Supplier","2","55","NO CREDIT","1","0",,,,,,NULL,NULL,NULL,"1465"
"1061","VIRIDIS BIOPHARMA PVT LTD",,,,,,"1","INDIA",,,,,,,"Supplier","2","55","NO CREDIT","1","0",,,,,,NULL,NULL,NULL,"1467"
"1062","GODREJ ",,,,"VIKHORLI 400079",,"1","INDIA",,,,,,,"Supplier","2","55","NO CREDIT","1","0",,,,,,NULL,NULL,NULL,"1463"
"1063","OZON AYURVEDIC",,,,,,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1464"
"1064","SAMI LABS LIMITED",,,,,,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1466"
"1066","WEENER EMPIRE PLASTIC LTD",,,"




FACTORY  G 19 /3 ,MIDC  IND AREA TARAPUR  -401506
DIST THANE 02525 -32574/ 275480
",,,"1","INDIA","MH",,,,,"




FACTORY  G 19 /3 ,MIDC  IND AREA TARAPUR  -401506
DIST THANE 02525 -32574/ 275480
","Supplier","2",,NULL,NULL,"0",,,,,"540044000582","VYSA0005400","ING VYSYA BANK LIMITED","MIRA ROAD ( EAST )","1471"
"1067","DINYAMIC EMBALLANGES",,,"68660 ROMBACH LE FRANCE","96 RUE DI GENERAL DE GAULLE,",,"16","FRANCE",,,,,,"68660 ROMBACH LE FRANCE","Supplier","2","36","30 DAYS FROM B/L DATE","30","0",,,,,,NULL,NULL,NULL,"1473"
"1068","ODY INTERNATIONAL",,,"65-A  SATISH MUKHERJEE ROAD,
KOLKATA -700026
TEL 033 24632116
",,,"1","INDIA",,,,,,"65-A  SATISH MUKHERJEE ROAD,
KOLKATA -700026
TEL 033 24632116
","Supplier","2","2","60 DAYS AFTER RECEIPT OF MATERIAL","60","0",,,,,"00142000018065","HDFC0000014","HDFC BANK LIMITED","Central Plaza branch.2/6, Sarat Bose Road, Kolkata-700020.","1474"
"1069","3D PACKAGING F.Z.E.",,,,,,"28","UAE",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1472"
"1071","MANISH TRANSPORT",,,,"HOUSE NO 1668,KHOKANI INDUSTRILA COMPLEX,NEAR NEMINATH INDS ESTATE",,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1480"
"1072","POLYBEND COLOUR CONCENTRATE",,,,"DAMAN",,"1","INDIA",,,,,,,"Supplier","2","1","30 DAYS AFTER RECEIPT OF MATERIAL ","30","0","shilpa.zope@3dpackaging.in",,,"shilpa.zope@3dpackaging.in","03222790000026","HDFC0000322","HDFC BANK LIMITED","S.V.ROAD, GOREGAON","1485"
"1074","SHREE MOMAI ROADWAYS",,,,"NAVKAR APPT,GALA NO 4, OPP HANUMAN SAW MILL,NEAR KAMLA HOTEL AGRA RAOD BHIWANDI",,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0","keshab.bhanja@3dpackaging.in",,,"keshab.bhanja@3dpackaging.in","07332560003156","HDFC0000733","HDFC BAANK","BHIWANDI","1482"
"1075","ANKUR PETROLEUM DG",,,"SY NO. 45/4/2/1  NAROLI, MAIN ROAD, SILVASSA  396230",,,"1","INDIA","GJ",,,,,"SY NO. 45/4/2/1  NAROLI, MAIN ROAD, SILVASSA  396230","Supplier","2","37","45 DAYS FROM B/L DATE ","45","0","keshab.bhanja@3dpackaging.in",,,"keshab.bhanja@3dpackaging.in","32204469189","SBIN0006586","STATE BANK OF INDIA ","SILVASSA ","1483"
"1076","SINGHANIA POLYMERS",,,,"SHOP NO 9 SAHYADRI OPP BAJAJ HALL,S.V.ROAD,MALAD W MUM 400064",,"1","INDIA",,,"AALPS7662K",,,,"Supplier","2",,NULL,NULL,"0","shilpa.zope@3dpackaging.in",,,"shilpa.zope@3dpackaging.in","3121003355","CBIN0281246/SUN","CENTRAL BANK OF INDIA","MALAD (W)","1486"
"1077","ASIAN ELECTRONICS LTD.",,,"WAGLE INDUSTRIAL ESTATE, THANE 400604","D-11, ROAD NO. 28,",,"1","INDIA","MH",,,,,"WAGLE INDUSTRIAL ESTATE, THANE 400604","Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1488"
"1081","KUSUM ART",,,"BEHIND DATTA MANDIR, NAVGHAR GAON, BHAYANDAR (E)","206, `A` WING, 2ND FLOOR, SRI DATTA VILLA CHS LTD.,",,"1","INDIA","MH",,"AFQPJ3617R",,,"BEHIND DATTA MANDIR, NAVGHAR GAON, BHAYANDAR (E)","Supplier","2",,NULL,NULL,"0","keshab.bhanja@3dpackaging.in","02255852214","9820822771","keshab.bhanja@3dpackaging.in",,NULL,NULL,NULL,"1489"
"1082","ANUJ MOULD AND DIES",,,"CHINCH PADA, VASAI (E), DIST. THANE","FACTORY ADD. ; GALA NO.20, SHREEJI INDUSTRIAL",,"1","INDIA","MH",,"ADTPD6284B",,,"CHINCH PADA, VASAI (E), DIST. THANE","Supplier","2","68","100% ADVANCE ","1","0","anujmould@rediffmail.com",,,"anujmould@rediffmail.com","10212009431","GBCB0000012","THE GREATER BOMBAY CO-OP BANK LTD","DAHISAR, MUMBAI","1490"
"1083","VEKSLER INSTRUMENTS",,,"OPP. BANK OF BARODA, GIDC, MAKARPURA, VADODARA -390010","36-1-A, ABHISJEK COMPLEX, B WING, 38/A,1 ST FLOOR,",,"1","INDIA","GJ",,,,,"OPP. BANK OF BARODA, GIDC, MAKARPURA, VADODARA -390010","Supplier","2",,NULL,NULL,"0","veksler2007@gmail.com","09638370219",,"veksler2007@gmail.com","05730200000960","BARBOINDMAK","BANK OF BARODA","MAKAPURA IND. ESTATE, VADODARA","1497"
"1086","INTERLABEL A/C THE HIMALAYA","110",,"RAVI INDUSTRIAL ESTATE, ANDHERI (E)","OFF MAHAKALI ROAD","400093","1","INDIA","MH","AAACI5684HXM003","AAACI56844","27670000307 V W.E.F.","27670000307 C W.E.F.","RAVI INDUSTRIAL ESTATE, ANDHERI (E)","Supplier","2","56","75 DAYS AFTER RECEIPT OF MATERIAL","75","0","krishna.pancholi@interlabels.com","02265814330","9833771922","krishna.pancholi@interlabels.com",,NULL,NULL,NULL,"1494"
"1087","INTERLABEL A/C LOREAL","110",,"RAVI INDUSTRIAL ESTATE, ANDHERI (E)","OFF MAHAKALI ROAD","400093","1","INDIA","MH","AAACI5684HXM003","AAACI56844","27670000307 V W.E.F.","27670000307 C W.E.F.","RAVI INDUSTRIAL ESTATE, ANDHERI (E)","Supplier","2","2","60 DAYS AFTER RECEIPT OF MATERIAL","60","0","harjot@interlabels.com;krishna.pancholi@interlabel","02265814330","9833771922","harjot@interlabels.com;krishna.pancholi@interlabel",,NULL,NULL,NULL,"1493"
"1088","SEAL JET INDIA PVT LTD.",,,"PUNE","BHOSARI",,"1","INDIA","MH",,,,,"PUNE","Supplier","2","7","IMMEDIATE AGAINST PROFORMA INVOICE","1","0","sealjet@vsnl.com","02027129823","02027110923","sealjet@vsnl.com","2919002100012056 ","PUNB0291900 ","PUNJAB NATIONAL BANK","LANDEWADI, BHOSARI,PUNE -26","1496"
"1090","SATYAM ENTERPRISES",,,"SILVASSA",,,"1","INDIA","GJ",,,,,"SILVASSA","Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1495"
"1091","WINTEK FLEXO PRINTS A/C ITC","33 and 34",,"YELACHANAHALLI ","PRATIBHA INDUSTRIAL ESTATE, ","560 078","1","INDIA","KA","AAAFW211OPXM002",,"2970036323 W.E.F. 12","9035951 - 3 W.E.F. 1","YELACHANAHALLI ","Supplier","2","2","60 DAYS AFTER RECEIPT OF MATERIAL","60","0","rajani.p@wintek.co.in",,,"rajani.p@wintek.co.in","`0039962608","CITI0000004","CITI BANK","M.G.ROAD, BANGALORE","1498"
"1097","PRINCE PACK INDUSTRIES",,,,"OFFICE BAJRANG BALI MARKET,SRCB ROAD,FANCY BAZAAR GUWAHATI 1",,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1500"
"1098","WINTEK FLEXO PRINTS A/C HUL",,,,,,"1","INDIA",,,,,,,"Supplier","2","56","75 DAYS AFTER RECEIPT OF MATERIAL","75","0","girish.ballarwad@wintek.co.in",,,"girish.ballarwad@wintek.co.in","`0039962608","CITI0000004","CITI BANK","M.G.ROAD, BANGALORE","1501"
"1108","WINTEK FLEXO PRINTS A/C WIPRO",,,,,,"1","INDIA",,,,,,,"Supplier","2","56","75 DAYS AFTER RECEIPT OF MATERIAL","75","0","girish.ballarwad@wintek.co.in",,,"girish.ballarwad@wintek.co.in","`0039962608","CITI0000004","CITI BANK","M.G.ROAD, BANGALORE","1502"
"1110","CLARION LOGISTICS INDIA PVT LTD",,,,"B106,ANSA INDUSTRIAL ESTATE SAKI VIHAR ROAD,ANDHERI E MUMBAI",,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1506"
"1111",".BISHNOI CARGO MOVERS",,,,"PLOT NO 160/1,NEAR PATEL ROADWAYS,GOLSHON CHAMBER 11ND PHASE GIDC VAPI 396195",,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1541"
"1112","BISHNOI CARGO MOVERS",,,,"PLOT NO 160/1,NEAR PATEL ROADWAYS,GOLSHON CHAMBER VAPI",,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0","bishnoi.vapi@gmail.com",,,"bishnoi.vapi@gmail.com","017905500170","ICIC0000179","ICICI BANK","VAPI","1542"
"1115","KOSMOS HEALTHCARE PVT LTD.",,,"KOLKATA - 700002","4, COSSIPORE ROAD,",,"1","INDIA",,,,,,"KOLKATA - 700002","Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1546"
"1116","BAN LABS LTD A/C MARICO LTD",,,"SELAQUI - DEHRADUN - 248197","PLOT NO. C- 4, INDUSTRIAL AREA, ",,"1","INDIA","UP",,,,,"SELAQUI - DEHRADUN - 248197","Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1545"
"1117","SMC PNEUMATICS (INDIA) PVT. LTD.",,,"DISTT. GAUTAM BUDH NAGAR - 201 305 ","D-107 TO 112, PHASE II EXTN., NOIDA",,"1","INDIA","UP",,,,,"DISTT. GAUTAM BUDH NAGAR - 201 305 ","Supplier","2",,NULL,NULL,"0","info@smcindia.in","01202568730","01202568731","info@smcindia.in",,NULL,NULL,NULL,"1544"
"1118","KUNAL CORPORATION",,,"OFF. L.B.S. ROAD, GHATKOPAR (W), MUMBAI - 400 086","B 108, GHATKOPAR iNDUSTRIAL ESTARE,",,"1","INDIA","MH",,,,,"OFF. L.B.S. ROAD, GHATKOPAR (W), MUMBAI - 400 086","Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1556"
"1123","RELIANCE ENGGINEERING CO.",,,,"SILVASSA",,"1","INDIA","GJ",,,,,,"Supplier","2",,NULL,NULL,"0","reliable.hygiene@gmail.com",,,"reliable.hygiene@gmail.com","05402320005339","HDFC0000540","HDFC BANK LTD.","VASHI","1554"
"1124","RISHABH ALUMINIUM",,,"BELOW HOTEL RAHAT, GIDC, VAPI - 396195","22, PRABHAT SHOPPING CENTER, ",,"1","INDIA","GJ",,,,,"BELOW HOTEL RAHAT, GIDC, VAPI - 396195","Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1557"
"1129","NUMEX BLOCKS",,,,,,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1575"
"115","VIJAY TRADERS ",,,,,,"1","INDIA",,,,,,,"Supplier","2","2","60 DAYS AFTER RECEIPT OF MATERIAL","60","0",,,,,,NULL,NULL,NULL,"494"
"1167","SRIVASAVI ADHESIVE TAPES PVT. LTD",,,"BANGALORE- 560020","# 30, II FLOOR , I MAIN ROAD, SESHADRIPURAM",,"1","INDIA",,,,,,"BANGALORE- 560020","Supplier","2","1","30 DAYS AFTER RECEIPT OF MATERIAL ","30","0","info@vasavitapes.com","02226858889","02226858891","info@vasavitapes.com","625305016586","ICICI0006253","ICICI BANK LTD.  ","BANGALORE KAMARAPARK ","1631"
"1168","WINTEK FLEXO PRINTS A/C EMAMI",,,,,,"1","INDIA",,,,,,,"Supplier","2","2","60 DAYS AFTER RECEIPT OF MATERIAL","60","0","rajani.p@wintek.co.in",,,"rajani.p@wintek.co.in","`0039962608","CITI0000004","CITI BANK","M.G.ROAD, BANGALORE","1634"
"1175","ANTHRIKSH SERVICES",,,,"SILVASSA ",,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1610"
"1177","UNICARE  EMERGENCY EQUIPMENT PVT LTD",,,"DADAR-WEST","LESLICO HOUS,, PROF. AGASHE ROAD,",,"1","INDIA",,,,,,"DADAR-WEST","Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1635"
"1178","ICM PACKAGING PVT. LTD","21/1",,"AMBERNATH-WEST 
DIST THANE","MIDC CHIKLOLI, ",,"1","INDIA",,,,,,"AMBERNATH-WEST 
DIST THANE","Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1630"
"118","2R MACHINEFABRICK","8","UNIVERSAL COMPOUND","GOREGAON","I.B. PATEL ROAD","400063","1","INDIA","MH",,"AXDPR3909D",,,"GOREGAON","Supplier","2","2","60 DAYS AFTER RECEIPT OF MATERIAL","60","0","2rmachineefabrick@gmail.com",,,"2rmachineefabrick@gmail.com",,NULL,NULL,NULL,"260"
"1180","SOFTCHIP TECHNOLOGIES LTD",,,,"33,TH FLOOR,KALPANA,2ND PASTA LANE,COLOBA,MUMABI 400005",,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1613"
"1181","V CARE PROTECTIVE PRODUCTS","112",,"16 PIPERWALA BLDG , NEXT TO SAMUEL STREEET
MASJIT BUNDER -WEST","VIR, VITHALDAS CHANDAN STREEET",,"1","INDIA",,,,,,"16 PIPERWALA BLDG , NEXT TO SAMUEL STREEET
MASJIT BUNDER -WEST","Supplier","2","55","NO CREDIT","1","0",,,,,"0100102000083146","IBKL0000100","IDBI BANK",,"1614"
"1182","BEST 592-555-015",,,,,,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1616"
"1183","BEST 592-555-425",,,,,,"1","INDIA",,,,,,,"Supplier","2",,NULL,NULL,"0",,,,,,NULL,NULL,NULL,"1617"
